Athlete,Event,Mark,Date
Eli Aaronson,60 Hurdles,DNF,"Dec  2- 3, 2022"
Eli Aaronson,110 Hurdles,19.43,"Apr 15, 2022"
Eli Aaronson,110 Hurdles,19.25,"Apr  9, 2022"
Eli Aaronson,High Jump,1.86m,"Feb 17, 2023"
Eli Aaronson,High Jump,1.86m,"Feb 11, 2023"
Eli Aaronson,High Jump,1.79m,"Feb  3- 4, 2023"
Eli Aaronson,High Jump,1.87m,"Jan 28, 2023"
Eli Aaronson,High Jump,1.85m,"Jan 21, 2023"
Eli Aaronson,High Jump,NH,"Jan 21, 2023"
Eli Aaronson,High Jump,1.80m,"Jan 14, 2023"
Eli Aaronson,High Jump,1.85m,"Dec  2- 3, 2022"
Eli Aaronson,High Jump,1.79m,"Feb 18, 2022"
Eli Aaronson,High Jump,1.83m,"Jan 22, 2022"
Eli Aaronson,High Jump,1.80m,"Jan 15, 2022"
Eli Aaronson,High Jump,1.85m,"Dec  3- 4, 2021"
Eli Aaronson,High Jump,1.80m,"Feb 27, 2021"
Eli Aaronson,High Jump,1.85m,"Feb 21, 2021"
Thomas Arnold,800 Meters,2:01.08,"Apr  7- 8, 2023"
Thomas Arnold,800 Meters,2:03.90,"Mar 24-25, 2023"
Thomas Arnold,1000 Meters,2:37.08,"Feb  3- 4, 2023"
Thomas Arnold,1500 Meters,4:02.80,"Apr 14-16, 2023"
Thomas Arnold,1500 Meters,4:06.78,"Apr  7- 8, 2023"
Thomas Arnold,1500 Meters,4:10.39,"Mar 24-25, 2023"
Thomas Arnold,Mile,4:25.38,"Feb 17, 2023"
Thomas Arnold,Mile,4:25.90,"Feb 11, 2023"
Thomas Arnold,Mile,4:27.20,"Jan 21, 2023"
Thomas Arnold,3000 Meters,8:48.87,"Apr 14-16, 2023"
Thomas Arnold,4 x 800 Relay,8:04.23,"Jan 28, 2023"
Thomas Arnold,4 x 800 Relay,8:19.65,"Dec  2- 3, 2022"
Thomas Arnold,6k,20:22.5,"Oct 21, 2022"
Thomas Arnold,6k,20:24.1,"Sep  2, 2022"
Thomas Arnold,8k,27:40.9,"Oct 14, 2022"
Thomas Arnold,8k,27:13.2,"Sep 30, 2022"
Thomas Arnold,4.97 Mile,27:42.4,"Sep 16, 2022"
Kerem Ayhan,200 Meters,23.62,"Jan 11, 2020"
Kerem Ayhan,400 Meters,50.76,"Feb  3- 4, 2023"
Kerem Ayhan,400 Meters,52.67,"Feb 29-Mar  1, 2020"
Kerem Ayhan,400 Meters,51.41,"Feb 21, 2020"
Kerem Ayhan,400 Meters,52.40,"Feb 14-15, 2020"
Kerem Ayhan,400 Meters,51.98,"Jan 25, 2020"
Kerem Ayhan,400 Meters,52.26,"Jan 11, 2020"
Kerem Ayhan,500 Meters,1:06.52,"Feb  7, 2020"
Kerem Ayhan,800 Meters,1:52.16,"Mar  3- 5, 2023"
Kerem Ayhan,800 Meters,1:50.18,"Mar  3- 5, 2023"
Kerem Ayhan,800 Meters,1:52.37,"Feb 25-26, 2023"
Kerem Ayhan,800 Meters,1:53.02,"Feb 25-26, 2023"
Kerem Ayhan,800 Meters,1:52.67,"Feb 11, 2023"
Kerem Ayhan,800 Meters,1:53.19,"Feb  3- 4, 2023"
Kerem Ayhan,800 Meters,1:53.50,"Jan 28, 2023"
Kerem Ayhan,800 Meters,1:56.25,"Feb 18, 2022"
Kerem Ayhan,800 Meters,1:56.04,"Feb 11-12, 2022"
Kerem Ayhan,800 Meters,DNS,"Dec  3- 4, 2021"
Kerem Ayhan,1000 Meters,2:24.41,"Jan 21, 2023"
Kerem Ayhan,4 x 400 Relay,3:18.62,"Feb 11, 2023"
Kerem Ayhan,4 x 400 Relay,3:23.97,"Jan 28, 2023"
Kerem Ayhan,4 x 400 Relay,3:24.01,"Jan 21, 2023"
Kerem Ayhan,4 x 400 Relay,DNS,"Jan 14, 2023"
Kerem Ayhan,4 x 400 Relay,3:25.32,"Feb 18, 2022"
Kerem Ayhan,4 x 400 Relay,3:27.11,"Feb 11-12, 2022"
Kerem Ayhan,4 x 400 Relay,3:25.91,"Feb 29-Mar  1, 2020"
Kerem Ayhan,4 x 400 Relay,3:36.44,"Feb 14-15, 2020"
Kerem Ayhan,4 x 400 Relay,3:25.68,"Feb  7, 2020"
Kerem Ayhan,4 x 400 Relay,3:25.70,"Jan 18, 2020"
Kerem Ayhan,4 x 400 Relay,3:29.27,"Jan 11, 2020"
Kerem Ayhan,4 x 800 Relay,8:21.10,"Dec  2- 3, 2022"
Kerem Ayhan,4 x 800 Relay,7:37.69,"Feb 26-27, 2022"
Kerem Ayhan,Distance Medley Relay,10:12.75,"Feb 25-26, 2023"
Kerem Ayhan,Distance Medley Relay,9:59.17,"Feb 26-27, 2022"
Kerem Ayhan,4k,12:50.4,"Oct 21, 2022"
Kerem Ayhan,6k,20:08.3,"Sep  2, 2022"
Kerem Ayhan,8k,26:50.6,"Sep 30, 2022"
Adam Barbato,800 Meters,2:02.85,"Mar 24-25, 2023"
Adam Barbato,1500 Meters,4:06.90,"Mar 24-25, 2023"
Adam Barbato,Mile,4:26.75,"Feb 17, 2023"
Adam Barbato,Mile,4:29.92,"Jan 14, 2023"
Adam Barbato,3000 Meters,8:38.65,"Feb 11, 2023"
Adam Barbato,3000 Meters,8:44.87,"Jan 28, 2023"
Adam Barbato,3000 Meters,8:42.40,"Jan 21, 2023"
Adam Barbato,5000 Meters,15:01.56,"Feb  3- 4, 2023"
Adam Barbato,3000 Steeplechase,9:28.19,"Apr  7- 8, 2023"
Adam Barbato,4 x 400 Relay,3:30.51,"Mar 24-25, 2023"
Adam Barbato,4 x 800 Relay,8:19.65,"Dec  2- 3, 2022"
Adam Barbato,6k,19:09.1,"Sep  2, 2022"
Adam Barbato,8.05k,26:46.2,"Oct 29, 2022"
Adam Barbato,10k,33:14.9,"Nov 11, 2022"
Adam Barbato,5.2 Mile,28:17.3,"Oct 14, 2022"
Carter Bartz,Pole Vault,4.60m,"Mar  3- 5, 2023"
Carter Bartz,Pole Vault,4.70m,"Feb 25-26, 2023"
Carter Bartz,Pole Vault,4.75m,"Feb 17, 2023"
Carter Bartz,Pole Vault,4.45m,"Feb 11, 2023"
Carter Bartz,Pole Vault,4.65m,"Feb  3- 4, 2023"
Carter Bartz,Pole Vault,4.68m,"Jan 28, 2023"
Carter Bartz,Pole Vault,4.45m,"Jan 21, 2023"
Carter Bartz,Pole Vault,4.56m,"Jan 14, 2023"
Carter Bartz,Pole Vault,4.55m,"Dec  2- 3, 2022"
Jonathan Bennett,60 Meters,6.94,"Feb 26-27, 2022"
Jonathan Bennett,60 Meters,6.95,"Feb 26-27, 2022"
Jonathan Bennett,60 Meters,7.03,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,7.06,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,7.10,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,6.95,"Jan 29, 2022"
Jonathan Bennett,60 Meters,7.16,"Jan 15, 2022"
Jonathan Bennett,100 Meters,11.44,"Apr  9, 2022"
Jonathan Bennett,100 Meters,10.78,"Mar 19, 2022"
Jonathan Bennett,200 Meters,23.08,"Feb 18, 2022"
